Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603_1608Metric",207.518000,-66.462000,180.000000,top
"C2","100nF","C_0603_1608Metric",214.226398,-89.662000,-90.000000,top
"C3","100nF","C_0603_1608Metric",193.548000,-89.662000,-90.000000,top
"C4","22uF","C_0805_2012Metric",216.293200,-39.471600,0.000000,top
"C5","10uF","C_0603_1608Metric",108.655250,-94.478000,180.000000,top
"C6","10uF","C_0603_1608Metric",108.966000,-112.776000,-90.000000,top
"C7","10uF","C_0603_1608Metric",132.689600,-92.710000,180.000000,top
"D1","SS54B","DIOM5336X244N",187.960000,-113.487200,-90.000000,top
"D2","LED","LED_0805_2012Metric",118.936624,-35.378780,0.000000,top
"D3","LED","LED_0805_2012Metric",118.947250,-38.321652,0.000000,top
"D4","LED","LED_0805_2012Metric",118.977808,-41.102465,0.000000,top
"D5","LED","LED_0805_2012Metric",118.967215,-43.942000,0.000000,top
"D6","LED","LED_0805_2012Metric",118.893163,-32.258908,0.000000,top
"D7","LED","LED_0805_2012Metric",119.010522,-46.825148,0.000000,top
"D8","LED","LED_0805_2012Metric",119.087951,-49.913910,0.000000,top
"IC1","TPS62160DGKR","SOP65P490X110-8N",213.083000,-62.230000,90.000000,top
"IC2","MCP2515-I_ST","SOP65P640X120-20N",201.509200,-91.651600,90.000000,top
"IC3","SN65HVD230","SOIC-8_3.9x4.9mm_P1.27mm",201.168000,-104.125800,-90.000000,top
"IC4","MCP2515-I_ST","SOP65P640X120-20N",220.381598,-91.715400,90.000000,top
"IC5","SN65HVD230","SOIC-8_3.9x4.9mm_P1.27mm",219.992198,-103.922600,-90.000000,top
"IC6","NCV8402ASTT1G","SOT230P700X175-4N",115.316000,-81.788000,180.000000,top
"J1","M22-2510346","PinHeader_1x03_P2.54mm_Horizontal",180.340000,-31.750000,0.000000,top
"J2","Conn_2Rows-57Pins","delphi56",105.778000,-127.376000,0.000000,top
"J3","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",200.020000,-115.570000,90.000000,top
"J7","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",205.486000,-39.116000,180.000000,top
"J8","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",218.793398,-115.570000,90.000000,top
"L1","2.2uH","NR6028T220M",213.042000,-49.022000,0.000000,top
"R1","100k","R_0805_2012Metric",211.414500,-39.522400,180.000000,top
"R2","220k","R_0805_2012Metric",221.373200,-49.834800,-90.000000,top
"R3","47k","R_0805_2012Metric",221.424000,-61.128000,-90.000000,top
"R4","1k6","R_0805_2012Metric",123.138250,-96.520000,180.000000,top
"R5","10","R_0805_2012Metric",150.765124,-35.378780,180.000000,top
"R6","200","R_0805_2012Metric",108.307500,-67.310000,0.000000,top
"R7","100","R_0805_2012Metric",121.666000,-67.310000,180.000000,top
"R8","10","R_0805_2012Metric",150.775750,-38.321652,180.000000,top
"R9","10","R_0805_2012Metric",150.806308,-41.102465,180.000000,top
"R10","1k6","R_0805_2012Metric",123.129792,-110.236000,180.000000,top
"R11","10","R_0805_2012Metric",150.759215,-43.942000,180.000000,top
"R12","120","R_0805_2012Metric",204.216000,-110.632000,180.000000,top
"R13","120","R_0805_2012Metric",223.266000,-110.998000,180.000000,top
"R14","1k","R_0805_2012Metric",146.181142,-113.334800,0.000000,top
"R15","10","R_0805_2012Metric",150.876000,-32.258000,180.000000,top
"R16","1k6","R_0805_2012Metric",132.822642,-112.706393,0.000000,top
"R17","560","R_0805_2012Metric",122.682000,-114.554000,180.000000,top
"R18","560","R_0805_2012Metric",108.655250,-100.320000,0.000000,top
"R19","560","R_0805_2012Metric",132.543130,-96.226878,0.000000,top
"R20","10","R_0805_2012Metric",150.755927,-46.840365,180.000000,top
"R21","1k6","R_0805_2012Metric",147.071000,-96.276000,180.000000,top
"R22","100","R_0805_2012Metric",145.946500,-67.056000,180.000000,top
"R23","10","R_0805_2012Metric",150.724869,-49.893217,180.000000,top
"U1","Pico","RPi_Pico_SMD_TH",169.316400,-67.462400,0.000000,top
"U2","PC817","DIP-4_W7.62mm",114.751250,-100.320000,90.000000,top
"U3","PC817","DIP-4_W7.62mm",114.300000,-116.586000,90.000000,top
"U4","PC817","DIP-4_W7.62mm",113.787000,-71.110000,90.000000,top
"U5","PC817","DIP-4_W7.62mm",137.897642,-115.998393,90.000000,top
"U6","PC817","DIP-4_W7.62mm",137.922000,-100.076000,90.000000,top
"U7","PC817","DIP-4_W7.62mm",137.922000,-70.866000,90.000000,top
