Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,207.518,-66.462,180,top
C2,100nF,C_0603_1608Metric,214.226398,-89.662,-90,top
C3,100nF,C_0603_1608Metric,193.548,-89.662,-90,top
C4,22uF,C_0805_2012Metric,216.2932,-39.4716,0,top
C5,10uF,C_0603_1608Metric,108.65525,-94.478,180,top
C6,10uF,C_0603_1608Metric,108.966,-112.776,-90,top
C7,10uF,C_0603_1608Metric,132.6896,-92.71,180,top
D1,SS54B,DIOM5336X244N,187.96,-113.4872,-90,top
D2,LED,LED_0805_2012Metric,118.936624,-35.37878,0,top
D3,LED,LED_0805_2012Metric,118.94725,-38.321652,0,top
D4,LED,LED_0805_2012Metric,118.977808,-41.102465,0,top
D5,LED,LED_0805_2012Metric,118.967215,-43.942,0,top
D6,LED,LED_0805_2012Metric,118.893163,-32.258908,0,top
D7,LED,LED_0805_2012Metric,119.010522,-46.825148,0,top
D8,LED,LED_0805_2012Metric,119.087951,-49.91391,0,top
IC1,TPS62160DGKR,SOP65P490X110-8N,213.083,-62.23,90,top
IC2,MCP2515-I_ST,SOP65P640X120-20N,201.5092,-91.6516,90,top
IC3,SN65HVD230,SOIC-8_3.9x4.9mm_P1.27mm,201.168,-104.1258,-90,top
IC4,MCP2515-I_ST,SOP65P640X120-20N,220.381598,-91.7154,90,top
IC5,SN65HVD230,SOIC-8_3.9x4.9mm_P1.27mm,219.992198,-103.9226,-90,top
IC6,NCV8402ASTT1G,SOT230P700X175-4N,115.316,-81.788,180,top
J1,M22-2510346,PinHeader_1x03_P2.54mm_Horizontal,180.34,-31.75,0,top
J2,Conn_2Rows-57Pins,delphi56,105.778,-127.376,0,top
J3,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,200.02,-115.57,90,top
J7,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,205.486,-39.116,180,top
J8,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,218.793398,-115.57,90,top
L1,2.2uH,NR6028T220M,213.042,-49.022,0,top
R1,100k,R_0805_2012Metric,211.4145,-39.5224,180,top
R2,220k,R_0805_2012Metric,221.3732,-49.8348,-90,top
R3,47k,R_0805_2012Metric,221.424,-61.128,-90,top
R4,1k6,R_0805_2012Metric,123.13825,-96.52,180,top
R5,10,R_0805_2012Metric,150.765124,-35.37878,180,top
R6,200,R_0805_2012Metric,108.3075,-67.31,0,top
R7,100,R_0805_2012Metric,121.666,-67.31,180,top
R8,10,R_0805_2012Metric,150.77575,-38.321652,180,top
R9,10,R_0805_2012Metric,150.806308,-41.102465,180,top
R10,1k6,R_0805_2012Metric,123.129792,-110.236,180,top
R11,10,R_0805_2012Metric,150.759215,-43.942,180,top
R12,120,R_0805_2012Metric,204.216,-110.632,180,top
R13,120,R_0805_2012Metric,223.266,-110.998,180,top
R14,1k,R_0805_2012Metric,146.181142,-113.3348,0,top
R15,10,R_0805_2012Metric,150.876,-32.258,180,top
R16,1k6,R_0805_2012Metric,132.822642,-112.706393,0,top
R17,560,R_0805_2012Metric,122.682,-114.554,180,top
R18,560,R_0805_2012Metric,108.65525,-100.32,0,top
R19,560,R_0805_2012Metric,132.54313,-96.226878,0,top
R20,10,R_0805_2012Metric,150.755927,-46.840365,180,top
R21,1k6,R_0805_2012Metric,147.071,-96.276,180,top
R22,100,R_0805_2012Metric,145.9465,-67.056,180,top
R23,10,R_0805_2012Metric,150.724869,-49.893217,180,top
U1,Pico,RPi_Pico_SMD_TH,169.3164,-67.4624,0,top
U2,PC817,DIP-4_W7.62mm,114.75125,-100.32,90,top
U3,PC817,DIP-4_W7.62mm,114.3,-116.586,90,top
U4,PC817,DIP-4_W7.62mm,113.787,-71.11,90,top
U5,PC817,DIP-4_W7.62mm,137.897642,-115.998393,90,top
U6,PC817,DIP-4_W7.62mm,137.922,-100.076,90,top
U7,PC817,DIP-4_W7.62mm,137.922,-70.866,90,top
